example_id                                                             | status | run_time        |
./spec/system/products_spec.rb[1:2:1]                                  | passed | 0.24091 seconds |
./spec/system/products_spec.rb[1:2:2]                                  | passed | 0.23447 seconds |
./spec/system/products_spec.rb[1:3:1]                                  | passed | 0.23263 seconds |
./spec/system/products_spec.rb[1:3:2]                                  | passed | 0.35315 seconds |
./spec/system/products_spec.rb[1:3:3]                                  | passed | 0.22718 seconds |
./spec/system/products_spec.rb[1:3:4]                                  | passed | 0.22329 seconds |
./spec/system/products_spec.rb[1:3:5]                                  | passed | 0.23317 seconds |
./spec/system/products_spec.rb[1:4:1]                                  | passed | 0.24105 seconds |
./spec/system/products_spec.rb[1:5:1:1]                                | passed | 0.23601 seconds |
./spec/system/products_spec.rb[1:5:1:2]                                | passed | 0.24949 seconds |
./spec/system/products_spec.rb[1:5:1:3]                                | passed | 0.81683 seconds |
./spec/system/products_spec.rb[1:6]                                    | passed | 0.23683 seconds |
./spec/system/products_spec.rb[1:7:1]                                  | passed | 4.06 seconds    |
./spec/system/products_spec.rb[1:7:2]                                  | passed | 0.35158 seconds |
./spec/system/products_spec.rb[1:8:1]                                  | passed | 0.28697 seconds |
./spec/system/products_spec.rb[1:9]                                    | passed | 0.77319 seconds |
./spec/system/products_spec.rb[1:10]                                   | passed | 0.29425 seconds |
./spec/system/products_spec.rb[1:11]                                   | passed | 0.26351 seconds |
./spec/system/products_spec.rb[1:12]                                   | passed | 0.2272 seconds  |
./spec/system/products_spec.rb[1:13]                                   | passed | 0.25547 seconds |
./spec/system/products_spec.rb[1:14]                                   | passed | 0.22908 seconds |
./spec/system/promotion_code_invalidation_spec.rb[1:1]                 | passed | 0.99056 seconds |
./spec/system/quantity_promotions_spec.rb[1:1]                         | passed | 1.08 seconds    |
./spec/system/quantity_promotions_spec.rb[1:2]                         | passed | 0.8291 seconds  |
./spec/system/quantity_promotions_spec.rb[1:3:1]                       | passed | 0.89065 seconds |
./spec/system/taxons_spec.rb[1:1]                                      | passed | 0.06502 seconds |
./spec/system/taxons_spec.rb[1:2]                                      | passed | 0.17156 seconds |
./spec/system/taxons_spec.rb[1:3:1]                                    | passed | 0.05613 seconds |
./spec/system/taxons_spec.rb[1:3:2]                                    | passed | 0.05816 seconds |
./spec/system/taxons_spec.rb[1:3:3]                                    | passed | 0.06085 seconds |
./spec/system/taxons_spec.rb[1:3:4]                                    | passed | 0.058 seconds   |
./spec/system/taxons_spec.rb[1:3:5]                                    | passed | 0.05803 seconds |
./spec/system/taxons_spec.rb[1:4:1]                                    | passed | 0.25456 seconds |
./spec/system/taxons_spec.rb[1:4:2]                                    | passed | 0.27683 seconds |
./spec/system/taxons_spec.rb[1:5:1]                                    | passed | 0.05468 seconds |
./spec/system/taxons_spec.rb[1:5:2:1]                                  | passed | 0.04893 seconds |
./spec/system/taxons_spec.rb[1:6:1]                                    | passed | 0.08383 seconds |
./spec/system/template_rendering_spec.rb[1:1]                          | passed | 0.01358 seconds |
